,city_name,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
84,Thompson,90,CA,1535199840,93,55.74,-97.86,44.6,9.17
85,Katangli,8,RU,1535202721,94,51.71,143.23,54.65,5.06
86,New Norfolk,0,AU,1535200200,70,-42.78,147.06,48.2,9.17
87,Batemans Bay,8,AU,1535202430,100,-35.71,150.18,48.8,3.49
88,Jinji,20,CN,1535202722,94,22.16,112.49,77.6,3.04
89,Georgetown,20,GY,1535198400,88,6.8,-58.16,82.4,6.93
90,Orda,64,RU,1535202723,78,57.2,56.91,63.47,13.11
91,Butaritari,24,KI,1535202723,100,3.07,172.79,83.63,3.94
92,Swift Current,90,CA,1535200500,87,50.29,-107.8,48.2,11.41
93,Chokurdakh,80,RU,1535202592,82,70.62,147.9,42.05,8.75
94,Longyearbyen,75,NO,1535201400,60,78.22,15.63,42.8,20.8
95,Yakeshi,88,CN,1535202724,81,49.28,120.73,62.48,4.05
96,Necochea,0,AR,1535202724,86,-38.55,-58.74,40.7,10.54
97,Gamba,32,CN,1535202575,82,28.28,88.52,41.6,3.49
98,Saint-Philippe,1,CA,1535201700,74,45.36,-73.48,70.16,4.7
99,Uspenka,0,UA,1535202725,25,48.39,39.16,83.45,8.63
100,Atherton,12,GB,1535201400,48,53.52,-2.49,62.6,12.75
101,Tessalit,32,ML,1535202650,34,20.2,1.01,98.03,4.61
102,Tuktoyaktuk,0,CA,1535202726,92,69.44,-133.03,42.32,2.59
103,Kimberley,0,ZA,1535198400,18,-28.74,24.76,80.6,23.04
104,Klyuchi,20,RU,1535202727,61,52.25,79.17,68.51,13.0
105,Springfield,20,US,1535201520,84,37.22,-93.29,75.92,12.75
106,Kota Belud,75,MY,1535200200,66,6.35,116.43,84.2,4.7
107,La Rioja,0,AR,1535202728,66,-29.41,-66.86,38.9,2.71
108,Bangalore,40,IN,1535202000,57,12.98,77.6,82.4,13.87
109,Alofi,80,NU,1535198400,88,-19.06,-169.92,73.4,6.93
110,Virginia Beach,40,US,1535201940,76,36.85,-75.98,80.06,9.17
111,Mahebourg,75,MU,1535198400,78,-20.41,57.7,73.4,14.99
112,Alexandria,1,US,1535200500,94,31.31,-92.44,73.04,2.93
113,Kuching,75,MY,1535200200,83,1.56,110.34,80.6,5.5
114,Yellowknife,75,CA,1535198400,81,62.45,-114.38,46.4,5.82
115,Aklavik,75,CA,1535198400,80,68.22,-135.01,41.0,2.24
116,Campbell River,90,CA,1535202000,93,50.02,-125.24,55.4,4.7
117,Kungurtug,24,RU,1535202730,47,50.6,97.53,57.53,1.92
118,Sibolga,20,ID,1535202730,80,1.74,98.78,75.08,2.48
119,Tela,75,HN,1535202000,83,15.78,-87.45,78.8,4.7
120,Bull Savanna,0,JM,1535202730,81,17.89,-77.59,72.02,4.05
121,Moerai,68,PF,1535202731,95,-22.43,-151.33,75.44,12.55
122,Edson,90,CA,1535202000,100,53.59,-116.44,39.2,2.24
123,Guerrero Negro,32,MX,1535202657,98,27.97,-114.04,68.33,6.62
124,Hilo,90,US,1535197980,100,19.71,-155.08,71.96,3.36
125,Massaguet,20,TD,1535198400,66,12.48,15.44,87.8,6.93
126,Soria,20,ES,1535202732,47,41.76,-2.46,69.59,3.94
127,Khatanga,0,RU,1535202656,64,71.98,102.47,60.14,11.21
128,Clyde River,90,CA,1535198400,93,70.47,-68.59,37.4,25.28
129,Tuscaloosa,1,US,1535197980,76,33.21,-87.57,75.02,5.82
130,Seoul,20,KR,1535202000,73,37.57,126.98,75.2,4.7
131,Cockburn Town,48,TC,1535202733,95,21.46,-71.14,84.17,18.59
132,Castro,92,CL,1535202537,99,-42.48,-73.76,47.36,5.95
133,Solginskiy,0,RU,1535202733,62,61.05,41.34,74.0,13.67
134,Tuatapere,0,NZ,1535202734,96,-46.13,167.69,49.52,19.04
135,Bethel,92,US,1535202734,94,60.79,-161.76,48.71,4.16
136,Kaoma,0,ZM,1535202734,31,-14.8,24.8,84.71,12.44
137,Margate,0,AU,1535200200,70,-43.03,147.26,48.2,9.17
138,Kalach-na-Donu,0,RU,1535200200,19,48.69,43.52,80.6,8.95
139,Lompoc,90,US,1535200500,93,34.64,-120.46,62.96,4.94
140,Huron,20,US,1535201940,96,44.36,-98.21,59.0,3.36
141,Natal,75,BR,1535202000,69,-5.81,-35.21,82.4,16.11
142,Manavalakurichi,40,IN,1535202000,88,8.13,77.3,77.0,11.41
143,Taltal,0,CL,1535202604,90,-25.41,-70.49,45.2,2.04
144,Barrow,0,AR,1535202736,93,-38.31,-60.23,37.82,8.63
145,Sorong,76,ID,1535202736,100,-0.86,131.25,79.31,6.4
146,Sao Joao da Barra,0,BR,1535198400,57,-21.64,-41.05,78.8,9.17
147,Salalah,90,OM,1535197800,100,17.01,54.1,73.4,4.7
148,Naze,76,NG,1535202611,98,5.43,7.07,80.21,7.4
149,Bredasdorp,0,ZA,1535198400,35,-34.53,20.04,71.6,16.11
150,Boden,0,SE,1535201400,77,65.83,21.69,59.0,14.99
151,Magdagachi,48,RU,1535202738,87,53.45,125.8,68.33,2.93
152,Kununurra,0,AU,1535200200,59,-15.77,128.74,62.6,9.17
153,Zima,0,RU,1535202738,66,53.93,102.05,65.63,5.5
154,Ponta do Sol,88,BR,1535202739,89,-20.63,-46.0,65.99,4.72
155,Cabo San Lucas,20,MX,1535197860,74,22.89,-109.91,78.8,9.17
156,Hlobyne,0,UA,1535202739,59,49.39,33.25,82.1,7.4
157,Gazanjyk,0,TM,1535202739,20,39.24,55.52,91.73,8.19
158,Palafrugell,75,ES,1535202000,69,41.92,3.16,73.4,4.7
159,Saint Pete Beach,1,US,1535200500,94,27.73,-82.74,80.06,9.08
160,Santa Rosa,0,AR,1535202571,58,-36.62,-64.29,32.33,3.04
161,Ust-Nera,68,RU,1535202648,88,64.57,143.24,45.38,1.92
162,Ozinki,0,RU,1535202742,36,51.2,49.73,79.67,12.1
163,Torbay,75,CA,1535198400,77,47.66,-52.73,66.2,14.99
164,Zhangye,80,CN,1535202742,50,38.94,100.46,71.39,3.38
